Role,Endpoint,Method,Status Code,Description,Request Body,Response Format,Test Data Available,Notes,Required Headers,Query Parameters,Path Parameters
Authentication,/auth/register,POST,201,User registration,"{email, password, firstName, lastName, role, stateUt}","{status: true, data: {user, accessToken}, message, timestamp}",Multiple users across states,Creates new user with JWT token,Content-Type: application/json,None,None
Authentication,/auth/login,POST,200,User login,"{email, password}","{status: true, data: {user, accessToken}, message, timestamp}",Valid credentials for all roles,Returns JWT token for authentication,Content-Type: application/json,None,None
Authentication,/health,GET,200,Health check,None,"{status: true, data: {service, database, uptime, memory}, message, timestamp}",Database connectivity verified,Checks database connection and tables,None,None,None
NODAL_OFFICER,/submission,POST,201,Create new submission,"{submissionId, formData, attachedFiles}","{status: true, data: submission, message, timestamp}",7+ submissions created,Creates submission in DRAFT status,"Authorization: Bearer {token}, Content-Type: application/json",None,None
NODAL_OFFICER,/submission,GET,200,List submissions,None,"{status: true, data: {submissions, total}, message, timestamp}",7 submissions with pagination,Returns user's submissions only,"Authorization: Bearer {token}",page=1&limit=20,None
NODAL_OFFICER,/submission/:id,GET,200,Get specific submission,None,"{status: true, data: submission, message, timestamp}",Multiple submissions available,Returns submission with user details,"Authorization: Bearer {token}",None,id (UUID)
NODAL_OFFICER,/submission/:id,PATCH,200,Update submission,"{formData, attachedFiles}","{status: true, data: submission, message, timestamp}",Only DRAFT status allowed,Updates only if status is DRAFT,"Authorization: Bearer {token}, Content-Type: application/json",None,id (UUID)
NODAL_OFFICER,/submission/submit-to-state/:id,POST,200,Submit draft to state,"{comment?}","{status: true, data: submission, message, timestamp}",Status transition working,Changes status to SUBMITTED_TO_STATE,"Authorization: Bearer {token}, Content-Type: application/json",None,id (UUID)
NODAL_OFFICER,/submission/resubmit/:id,POST,200,Resubmit rejected submission,"{formData, comment?}","{status: true, data: submission, message, timestamp}",Rejection count increment,Increments rejection_count,"Authorization: Bearer {token}, Content-Type: application/json",None,id (UUID)
NODAL_OFFICER,/submission/:id/comment,POST,201,Add review comment,"{comment, role}","{status: true, data: submission, message, timestamp}",Comments stored in JSONB,Adds comment to reviewComments array,"Authorization: Bearer {token}, Content-Type: application/json",None,id (UUID)
NODAL_OFFICER,/auth/profile,GET,200,Get user profile,None,"{status: true, data: user, message, timestamp}",Profile data available,Returns current user's profile,"Authorization: Bearer {token}",None,None
NODAL_OFFICER,/auth/change-password,PUT,200,Change password,"{currentPassword, newPassword}","{status: true, data: null, message, timestamp}",Password update working,Updates user password,"Authorization: Bearer {token}, Content-Type: application/json",None,None
NODAL_OFFICER,/dashboard/summary,GET,200,Dashboard summary,None,"{status: true, data: {pendingSubmissions, approvedSubmissions, etc}, message, timestamp}",Realistic metrics,Returns dashboard metrics,"Authorization: Bearer {token}",None,None
NODAL_OFFICER,/dashboard/kpis,GET,200,Key Performance Indicators,None,"{status: true, data: {mySubmissions, pendingReview, etc}, message, timestamp}",KPIs with current data,Returns user-specific KPIs,"Authorization: Bearer {token}",None,None
STATE_APPROVER,/submission,GET,200,List submissions,None,"{status: true, data: {submissions, total}, message, timestamp}",All submissions visible,Returns all submissions for review,"Authorization: Bearer {token}",page=1&limit=20&status?,None
STATE_APPROVER,/submission/:id,GET,200,Get specific submission,None,"{status: true, data: submission, message, timestamp}",Full submission details,Returns submission with user details,"Authorization: Bearer {token}",None,id (UUID)
STATE_APPROVER,/submission/forward-to-mospi/:id,POST,200,Forward to MoSPI,"{comment?}","{status: true, data: submission, message, timestamp}",Status transition to SUBMITTED_TO_MOSPI,Changes status and owner role,"Authorization: Bearer {token}, Content-Type: application/json",None,id (UUID)
STATE_APPROVER,/submission/state-reject/:id,POST,200,Reject submission,"{comment, reason}","{status: true, data: submission, message, timestamp}",Status to REJECTED_TO_STATE,Rejects submission back to nodal,"Authorization: Bearer {token}, Content-Type: application/json",None,id (UUID)
STATE_APPROVER,/submission/:id/comment,POST,201,Add review comment,"{comment, role}","{status: true, data: submission, message, timestamp}",State-level comments,Adds state approver comment,"Authorization: Bearer {token}, Content-Type: application/json",None,id (UUID)
STATE_APPROVER,/users,GET,200,List users,None,"{status: true, data: users, message, timestamp}",All users visible,Returns all users in system,"Authorization: Bearer {token}",page=1&limit=20,None
STATE_APPROVER,/users/:id,GET,200,Get specific user,None,"{status: true, data: user, message, timestamp}",User details available,Returns user details,"Authorization: Bearer {token}",None,id (UUID)
STATE_APPROVER,/users/:id,PATCH,200,Update user,"{firstName?, lastName?, isActive?}","{status: true, data: user, message, timestamp}",User management,Updates user information,"Authorization: Bearer {token}, Content-Type: application/json",None,id (UUID)
STATE_APPROVER,/users/:id,DELETE,200,Delete user,None,"{status: true, data: null, message, timestamp}",User deletion,Soft deletes user,"Authorization: Bearer {token}",None,id (UUID)
STATE_APPROVER,/users/by-state/:stateUt,GET,200,Users by state,None,"{status: true, data: users, message, timestamp}",State-wise filtering,Returns users by state,"Authorization: Bearer {token}",None,stateUt (string)
STATE_APPROVER,/users/by-role/:role,GET,200,Users by role,None,"{status: true, data: users, message, timestamp}",Role-wise filtering,Returns users by role,"Authorization: Bearer {token}",None,role (string)
STATE_APPROVER,/auth/profile,GET,200,Get user profile,None,"{status: true, data: user, message, timestamp}",Profile data available,Returns current user's profile,"Authorization: Bearer {token}",None,None
STATE_APPROVER,/auth/change-password,PUT,200,Change password,"{currentPassword, newPassword}","{status: true, data: null, message, timestamp}",Password update working,Updates user password,"Authorization: Bearer {token}, Content-Type: application/json",None,None
STATE_APPROVER,/dashboard/summary,GET,200,Dashboard summary,None,"{status: true, data: {pendingSubmissions, approvedSubmissions, etc}, message, timestamp}",State-level metrics,Returns state-level dashboard,"Authorization: Bearer {token}",None,None
STATE_APPROVER,/dashboard/kpis,GET,200,Key Performance Indicators,None,"{status: true, data: {mySubmissions, pendingReview, etc}, message, timestamp}",State KPIs,Returns state-level KPIs,"Authorization: Bearer {token}",None,None
MOSPI_REVIEWER,/submission,GET,200,List submissions,None,"{status: true, data: {submissions, total}, message, timestamp}",All submissions visible,Returns all submissions,"Authorization: Bearer {token}",page=1&limit=20&status?,None
MOSPI_REVIEWER,/submission/:id,GET,200,Get specific submission,None,"{status: true, data: submission, message, timestamp}",Full submission details,Returns submission with details,"Authorization: Bearer {token}",None,id (UUID)
MOSPI_REVIEWER,/submission/:id/comment,POST,201,Add review comment,"{comment, role}","{status: true, data: submission, message, timestamp}",MoSPI-level comments,Adds MoSPI reviewer comment,"Authorization: Bearer {token}, Content-Type: application/json",None,id (UUID)
MOSPI_REVIEWER,/submission/approve/:id,POST,200,Approve submission,"{comment?}","{status: true, data: submission, message, timestamp}",Final approval workflow,Approves submission,"Authorization: Bearer {token}, Content-Type: application/json",None,id (UUID)
MOSPI_REVIEWER,/submission/final-reject/:id,POST,200,Final rejection,"{comment, reason}","{status: true, data: submission, message, timestamp}",REJECTED_FINAL status,Final rejection,"Authorization: Bearer {token}, Content-Type: application/json",None,id (UUID)
MOSPI_REVIEWER,/users,GET,200,List users,None,"{status: true, data: users, message, timestamp}",All users visible,Returns all users,"Authorization: Bearer {token}",page=1&limit=20,None
MOSPI_REVIEWER,/users/:id,GET,200,Get specific user,None,"{status: true, data: user, message, timestamp}",User details available,Returns user details,"Authorization: Bearer {token}",None,id (UUID)
MOSPI_REVIEWER,/users/:id,PATCH,200,Update user,"{firstName?, lastName?, isActive?}","{status: true, data: user, message, timestamp}",User management,Updates user info,"Authorization: Bearer {token}, Content-Type: application/json",None,id (UUID)
MOSPI_REVIEWER,/users/:id,DELETE,200,Delete user,None,"{status: true, data: null, message, timestamp}",User deletion,Soft deletes user,"Authorization: Bearer {token}",None,id (UUID)
MOSPI_REVIEWER,/audit,GET,200,Audit logs,None,"{status: true, data: {logs, total}, message, timestamp}",All audit entries,Returns audit logs,"Authorization: Bearer {token}",page=1&limit=20,None
MOSPI_REVIEWER,/audit/entity/:entityType/:entityId,GET,200,Entity audit logs,None,"{status: true, data: logs, message, timestamp}",Entity-specific logs,Returns entity audit logs,"Authorization: Bearer {token}",None,entityType (string), entityId (UUID)
MOSPI_REVIEWER,/audit/user/:userId,GET,200,User audit logs,None,"{status: true, data: logs, message, timestamp}",User-specific logs,Returns user audit logs,"Authorization: Bearer {token}",None,userId (UUID)
MOSPI_REVIEWER,/audit/stats,GET,200,Audit statistics,None,"{status: true, data: {totalLogs, etc}, message, timestamp}",Audit metrics,Returns audit statistics,"Authorization: Bearer {token}",None,None
MOSPI_REVIEWER,/audit/my-activity,GET,200,My activity logs,None,"{status: true, data: logs, message, timestamp}",Personal audit trail,Returns user's activity,"Authorization: Bearer {token}",None,None
MOSPI_REVIEWER,/report/ranking,GET,200,State ranking report,None,"{status: true, data: rankings, message, timestamp}",Ranking data,Returns state rankings,"Authorization: Bearer {token}",year?&stateUt?,None
MOSPI_REVIEWER,/report/full-report,GET,200,Full report,None,"{status: true, data: {rankings, statistics, stateComparison}, message, timestamp}",Comprehensive report,Returns full report,"Authorization: Bearer {token}",year?&format?,None
MOSPI_REVIEWER,/report/state/:stateUt,GET,200,State-specific report,None,"{status: true, data: {stateData, submissions, scores}, message, timestamp}",State-wise reports,Returns state-specific report,"Authorization: Bearer {token}",None,stateUt (string)
MOSPI_REVIEWER,/report/export,GET,200,Export report,None,File download,Report export,Exports report in specified format,"Authorization: Bearer {token}",format=xlsx&year?,None
MOSPI_REVIEWER,/report/submission-status,GET,200,Submission status report,None,"{status: true, data: {statusCounts}, message, timestamp}",Status-wise reports,Returns submission status counts,"Authorization: Bearer {token}",None,None
MOSPI_REVIEWER,/file/storage-info,GET,200,File storage info,None,"{status: true, data: {storageType, message}, message, timestamp}",Storage configuration,Returns storage configuration,"Authorization: Bearer {token}",None,None
MOSPI_REVIEWER,/auth/profile,GET,200,Get user profile,None,"{status: true, data: user, message, timestamp}",Profile data available,Returns current user's profile,"Authorization: Bearer {token}",None,None
MOSPI_REVIEWER,/auth/change-password,PUT,200,Change password,"{currentPassword, newPassword}","{status: true, data: null, message, timestamp}",Password update working,Updates user password,"Authorization: Bearer {token}, Content-Type: application/json",None,None
